feature,importance
units_sold_lag_7,0.6839711473170474
units_sold_lag_1,0.0663981628465609
units_sold_lag_6,0.04114633620999904
units_sold_lag_3,0.020702393260686316
units_sold_lag_4,0.019882732446132253
units_sold_lag_5,0.019626085678824817
units_sold_lag_2,0.01774017641167545
id,0.016000330291334467
day_of_week_sin,0.015918039170222577
day_of_month_sin,0.011486181253876173
units_sold_rolling_std_7,0.009976721553266347
units_sold_rolling_std_14,0.008130749600227949
day_of_month_cos,0.008129758817561516
day_of_week_cos,0.007263093976459246
units_sold_rolling_mean_30,0.005838413092348778
month_cos,0.005506383955275521
month_sin,0.005376041878642313
units_sold_rolling_min_7,0.005217506317544823
units_sold_rolling_min_14,0.004896275735139376
units_sold_rolling_mean_7,0.004503533939380888
units_sold_rolling_max_7,0.004427606846660183
units_sold_rolling_mean_14,0.0041788778910754
units_sold_rolling_max_14,0.0038703276441532457
cat_id,0.003124859976592082
dept_id,0.0031215381428040833
quarter_sin,0.0018707161979548853
quarter_cos,0.0016960095485540395
